,track_id,lat,lon,speed,lon_acc,lat_acc,time,type,traveled_d,avg_speed
180,181,37.980585,23.735082,49.7112,0.0218,0.0406,84.4, Motorcycle,480.71,44.601624
181,182,37.980604,23.735097,39.6197,0.0416,0.097,84.8, Motorcycle,486.16,23.028722
182,183,37.980034,23.736892,16.1534,-0.0105,-0.0488,85.4, Car,32.11,12.84541
183,184,37.980596,23.735076,40.92,0.0472,-0.1728,87.8, Car,478.66,22.975633
184,185,37.980622,23.735127,38.6427,0.0095,-0.0619,89.0, Motorcycle,487.23,20.684375
185,186,37.980605,23.735102,42.7622,0.0541,-0.0115,89.2, Car,477.7,25.744193
186,187,37.980034,23.736887,12.9157,-0.0471,0.3691,91.8, Car,34.3,12.346529
187,188,37.978412,23.73553,32.0618,0.0106,-0.078,93.0, Taxi,261.91,19.643018
188,189,37.977623,23.737411,11.4717,-0.0316,0.2769,97.2, Car,93.48,21.572758
189,190,37.977607,23.73742,11.4782,0.0217,0.0578,98.6, Motorcycle,56.88,15.05652
190,191,37.977626,23.73741,3.4537,0.3062,0.0,103.8, Car,105.45,11.716569
191,192,37.980035,23.73689,23.2713,0.0262,-0.037,105.8, Car,27.26,8.92056
192,193,37.980034,23.736895,17.3811,-0.2704,-0.0963,112.2, Car,199.45,13.807814
193,194,37.978449,23.737981,25.2097,0.0446,0.2158,116.4, Taxi,225.35,14.435345
194,195,37.978402,23.735524,25.1568,0.0089,-0.0902,116.8, Taxi,358.31,5.743177
195,196,37.980607,23.73506,28.548,0.0189,-0.187,116.8, Motorcycle,481.59,33.469879
196,197,37.98061,23.73506,30.2101,0.7501,0.6394,118.0, Car,235.61,31.648758
197,198,37.980594,23.735033,23.5893,0.0257,0.0778,118.6, Bus,140.38,15.502507
198,199,37.978409,23.735525,25.8547,0.0086,-0.0667,118.6, Car,211.82,13.37793
199,200,37.978409,23.735521,31.2397,0.0633,0.0805,119.4, Motorcycle,352.16,15.092596
200,201,37.980619,23.73509,23.9197,-0.0617,0.1143,120.0, Car,487.56,30.578418
201,202,37.980607,23.735063,26.7208,1.1274,-1.2093,120.0, Car,481.52,34.808553
202,203,37.978398,23.73553,28.8277,0.0597,-0.067,120.0, Motorcycle,175.75,10.406261
203,204,37.977627,23.737404,10.894,-0.0405,0.4346,120.4, Taxi,104.8,19.856184
204,205,37.978406,23.735526,32.755,0.0264,-0.2032,120.6, Motorcycle,349.92,14.996362
205,206,37.97735,23.737621,1.873,-0.0386,0.1536,121.8, Motorcycle,28.03,9.891223
206,207,37.978418,23.735528,32.314,0.0366,-0.0784,121.8, Motorcycle,214.0,14.05811
207,208,37.980614,23.735076,39.5286,0.051,-0.006,121.8, Motorcycle,480.74,48.07366
208,209,37.978404,23.735534,31.5165,-0.04,-0.196,122.0, Motorcycle,194.49,12.918358
209,210,37.978415,23.735527,30.4705,0.0073,-0.0774,122.8, Motorcycle,215.19,14.13631
210,211,37.980033,23.73689,15.4168,0.5282,-0.2473,123.0, Car,28.34,3.750962
211,212,37.978406,23.735539,32.4082,0.0049,-0.0521,123.2, Motorcycle,357.91,15.790244
212,213,37.978467,23.738003,7.169,-0.6715,0.0021,124.0, Car,227.98,24.572722
213,214,37.977625,23.737414,6.5531,-0.3257,0.2816,124.2, Taxi,92.83,22.279832
214,215,37.980627,23.73509,30.9676,-0.0166,-0.0003,124.2, Car,482.92,20.309717
215,216,37.978536,23.738163,19.8114,-0.1089,-0.0057,125.4, Medium Vehicle,236.59,11.090101
216,217,37.98061,23.735053,33.0975,-0.0678,-0.1225,125.6, Car,482.7,37.776566
217,218,37.980526,23.734919,18.6502,0.0795,0.0312,126.0, Car,18.62,0.09677
218,219,37.978408,23.735523,31.8063,-0.3845,1.4661,126.4, Taxi,222.67,14.627971
219,220,37.980601,23.73504,45.7955,0.0474,0.0551,126.6, Motorcycle,481.21,50.951537
220,221,37.980606,23.735072,44.7874,0.0072,0.1615,126.8, Motorcycle,480.96,40.079767
221,222,37.977636,23.737401,9.9408,-0.161,0.1639,127.2, Medium Vehicle,105.52,19.185478
222,223,37.980628,23.735088,32.1467,-0.0115,-0.143,127.2, Heavy Vehicle,481.74,2.507635
223,224,37.97842,23.735524,30.0644,0.0218,0.0529,127.8, Car,223.58,14.581484
224,225,37.980584,23.735029,28.4814,0.0159,0.0025,127.8, Taxi,480.33,24.083196
225,226,37.980631,23.735119,46.2764,0.0299,0.0329,128.2, Motorcycle,149.79,36.435828
226,227,37.980595,23.735066,40.1267,-0.0322,-0.008,128.2, Car,235.43,32.598103
227,228,37.980035,23.736891,14.5972,-0.011,-0.0561,128.2, Car,197.28,18.210205
228,229,37.977614,23.73741,11.939,-0.1575,0.3342,128.8, Motorcycle,55.36,19.162203
229,230,37.980032,23.736895,13.6242,0.0019,-0.0902,129.6, Motorcycle,433.83,20.282799
230,231,37.978405,23.735529,28.5514,0.0077,-0.0639,129.8, Car,347.72,14.937735
231,232,37.980613,23.735057,37.7531,0.0376,-0.0269,130.0, Car,481.27,21.284879
232,233,37.980628,23.735095,37.5486,0.0238,-0.0079,130.6, Car,480.66,20.214535
233,234,37.980604,23.735056,38.0375,0.0475,-0.0195,131.2, Car,461.87,3.843576
234,235,37.977634,23.737403,8.5244,-0.1987,0.0001,131.6, Car,102.44,20.043382
235,236,37.980626,23.735087,36.0566,0.0252,0.0434,131.8, Car,482.49,20.244247
236,237,37.97841,23.735525,29.4376,0.0862,-0.0068,132.2, Car,211.29,13.779575
237,238,37.980638,23.735119,39.3136,-0.0248,-0.0187,132.4, Motorcycle,343.75,13.749898
238,239,37.980599,23.735045,52.6179,0.2754,-0.0169,133.0, Motorcycle,488.19,42.657813
239,240,37.978415,23.735533,28.4925,0.0077,0.008,134.4, Car,360.16,15.435314
240,241,37.977632,23.737408,13.394,-0.0274,0.0513,134.8, Car,28.53,14.26636
241,242,37.980627,23.735082,42.1398,0.2619,0.0248,136.0, Taxi,480.45,19.654934
242,243,37.977624,23.737409,18.2058,0.0029,0.2272,136.8, Car,27.04,15.701965
243,244,37.978399,23.735543,18.6213,0.1907,-0.0394,142.6, Car,19.14,0.101884
244,245,37.978419,23.735545,23.8441,-0.0417,-0.0212,145.8, Medium Vehicle,256.94,11.171377
245,246,37.978541,23.738212,15.585,-0.0776,-0.1244,149.4, Car,172.4,19.155583
246,247,37.980605,23.735023,59.4986,0.7237,-0.0137,158.0, Motorcycle,51.08,28.732618
247,248,37.98059,23.735033,41.8241,0.2679,-0.1232,159.6, Motorcycle,481.24,40.860291
248,249,37.980634,23.735118,39.8245,0.2623,-0.1105,160.6, Car,53.34,21.820931
249,250,37.978453,23.737985,19.6091,0.4192,0.0096,161.6, Motorcycle,125.41,15.252951
250,251,37.980595,23.735024,36.1294,0.5362,0.0206,162.0, Taxi,458.55,37.517679
251,252,37.979419,23.737522,10.8153,-0.2793,-0.2804,162.4, Motorcycle,37.54,12.993423
252,253,37.980636,23.735102,46.7745,0.7808,-0.0339,162.8, Motorcycle,454.48,42.386647
253,254,37.980603,23.735032,45.9207,0.0685,-0.0698,164.4, Motorcycle,453.86,41.681178
254,255,37.980605,23.735059,27.8798,-0.0647,0.0102,164.6, Car,480.96,31.254021
255,256,37.980626,23.735092,24.5682,0.0409,0.0048,165.2, Heavy Vehicle,482.5,28.569004
256,257,37.980614,23.735054,35.6038,0.1425,0.0251,167.0, Car,454.28,38.93863
257,258,37.980592,23.735026,31.4537,0.0969,-0.0306,167.6, Taxi,454.22,33.101076
258,259,37.980613,23.735048,38.5675,0.2348,-0.0365,168.2, Motorcycle,489.69,36.57461
259,260,37.980651,23.73511,40.1903,0.1685,-0.0048,168.4, Car,52.24,28.496744
260,261,37.980543,23.734924,26.5009,0.1444,-0.0468,168.8, Heavy Vehicle,95.09,12.31368
261,262,37.980627,23.735086,32.0867,0.1549,0.0063,169.2, Car,483.21,28.331305
262,263,37.980586,23.735046,43.8897,0.4044,-0.0061,170.4, Taxi,457.62,33.214697
263,264,37.980611,23.735059,41.6588,0.2571,0.0111,170.6, Car,460.09,32.604466
264,265,37.98063,23.735121,42.871,0.3742,0.0714,170.8, Car,485.63,34.965644
265,266,37.980622,23.735083,35.2884,0.137,-0.0201,171.6, Car,463.06,31.813042
266,267,37.980038,23.736911,28.4494,0.0268,-0.1801,172.6, Motorcycle,199.78,22.061939
267,268,37.980591,23.735027,39.4306,0.4123,-0.0571,173.8, Taxi,102.89,26.458017
268,269,37.980631,23.735105,41.7589,0.0143,0.0483,174.2, Car,478.59,37.45476
269,270,37.980612,23.735062,55.0938,0.5842,-0.006,175.0, Car,481.36,23.544831
270,271,37.980582,23.735042,59.0616,0.4354,0.0501,176.4, Motorcycle,485.61,40.65554
271,272,37.980599,23.735061,47.3419,0.1966,-0.0009,176.8, Car,284.07,15.448051
272,273,37.978409,23.735524,35.6669,0.2494,-0.0163,177.6, Car,210.5,16.261862
273,274,37.977618,23.737428,11.6636,-0.187,0.0464,177.8, Motorcycle,100.78,14.511744
274,275,37.980594,23.735037,62.463,0.2784,-0.0248,179.4, Car,482.48,40.393771
275,276,37.98061,23.735057,43.8119,-0.0958,-0.0782,179.6, Motorcycle,452.49,26.021697
276,277,37.980035,23.73689,21.1737,-0.218,-0.0644,180.0, Car,198.64,23.997212
277,278,37.977613,23.737436,18.0297,-0.2542,0.2295,182.8, Motorcycle,87.37,18.287492
278,279,37.977187,23.737745,4.8675,-0.2851,0.0079,185.2, Motorcycle,55.07,13.216367
279,280,37.980037,23.736897,25.1774,-0.1238,-0.0108,185.2, Taxi,199.6,26.613805
280,281,37.977618,23.737407,7.8342,-0.0035,0.1706,194.4, Motorcycle,46.91,3.377796
281,282,37.978411,23.735517,25.798,-2.4037,0.2022,196.0, Car,401.47,21.766252
282,283,37.980061,23.73701,12.325,-0.4514,-0.3539,204.4, Car,216.92,14.78977
283,284,37.980625,23.735054,35.5155,0.5271,-0.0253,205.8, Motorcycle,120.73,18.574441
284,285,37.980639,23.735081,30.5454,-0.0084,-1.2314,206.2, Medium Vehicle,492.0,40.624114
285,286,37.980595,23.735034,41.8506,-0.7133,-0.4785,207.6, Motorcycle,458.01,40.812929
286,287,37.980651,23.735104,30.9267,0.2784,-2.2206,207.6, Car,55.18,23.098429
287,288,37.980611,23.735056,44.2712,-2.8132,-0.408,208.4, Motorcycle,463.81,47.98007
288,289,37.97841,23.735513,28.1841,-0.6653,0.2398,209.4, Car,442.47,16.320539
289,290,37.9806,23.735028,44.4407,-5.2064,-1.1906,209.8, Motorcycle,481.77,44.244042
290,291,37.978403,23.735525,39.0445,0.3495,-0.1518,210.2, Motorcycle,323.78,15.098643
