track_id,lat,lon,speed,lon_acc,lat_acc,time
378,37.980621,23.735086,28.3627,0.0193,0.1388,303.6
379,37.980613,23.735054,33.2822,0.0697,-0.1448,303.8
380,37.977633,23.737392,7.4765,-0.5081,0.0473,304.6
381,37.978421,23.735549,37.0351,0.129,-0.0615,304.6
382,37.980645,23.735115,38.6511,0.0171,-0.0419,305.0
383,37.978405,23.735518,30.1604,-0.0706,-0.042,305.4
384,37.980638,23.735082,25.9967,-0.0469,0.0317,305.6
385,37.980613,23.735061,33.5981,-0.003,-0.0527,306.0
386,37.980643,23.735117,39.2567,-0.083,-0.1023,307.0
387,37.978406,23.735521,29.1679,-0.0733,-0.0256,307.6
388,37.980626,23.735088,32.9992,0.0784,0.0114,308.4
389,37.977629,23.737414,13.8371,-0.1359,0.1959,309.0
390,37.980611,23.735049,32.628,0.0993,-0.0728,310.0
391,37.978417,23.73552,24.7852,0.019,-0.0421,310.0
392,37.980597,23.73503,33.9236,-0.0062,-0.0017,311.2
393,37.97841,23.735522,24.3834,0.0638,0.0474,311.6
394,37.980639,23.735106,44.8581,0.0712,0.0394,311.6
395,37.980615,23.735049,30.1257,0.0874,-0.0509,311.8
396,37.980631,23.735069,42.4314,0.2082,-0.0121,312.8
397,37.98007,23.736973,14.2207,0.0878,-0.0558,313.0
398,37.978407,23.735524,21.1772,0.0585,-0.0181,313.4
399,37.977624,23.737424,9.5216,-0.4298,0.3071,313.6
400,37.980633,23.735087,42.5174,0.6236,0.0064,314.0
401,37.980612,23.735058,38.595,0.4052,0.0003,314.4
402,37.98062,23.735049,34.5035,0.6341,0.0187,315.2
403,37.977612,23.73741,10.0423,-0.302,0.4401,315.6
404,37.978407,23.735523,21.7573,0.0694,-0.0171,316.4
405,37.9784,23.735531,21.3709,0.0929,-0.0646,318.2
406,37.978406,23.735523,17.3874,0.1229,0.0116,320.2
407,37.97842,23.735516,28.9446,0.0707,0.0206,321.4
408,37.978411,23.73553,17.4018,0.1212,0.04,323.0
409,37.978408,23.735528,16.6469,0.1652,-0.0124,325.2
410,37.978427,23.735523,12.6856,-0.1682,0.0018,326.6
411,37.978411,23.735523,12.2455,0.1065,-0.0182,328.4
412,37.978421,23.735511,20.6542,0.2544,0.0133,329.2
413,37.978405,23.735521,9.1597,-0.0238,-0.0129,330.4
414,37.977621,23.737415,5.7335,0.5084,0.0,331.0
415,37.978403,23.735532,11.1172,0.0004,0.2159,336.6
416,37.98004,23.736898,20.937,-0.0969,-0.1997,337.2
417,37.978416,23.73552,30.8742,0.0599,-0.0674,338.4
418,37.980009,23.735037,6.1914,0.0007,0.0393,340.0
419,37.980035,23.736899,21.3987,-0.0166,-0.0502,340.0
420,37.978407,23.735529,16.7707,-0.0118,-0.0873,342.8
421,37.980645,23.735113,36.469,-0.0432,0.056,345.0
422,37.980621,23.735091,20.3685,0.023,-0.0616,345.0
423,37.978411,23.735516,18.9427,0.1353,-0.0744,345.2
424,37.978405,23.735525,22.317,0.0548,0.0916,347.0
425,37.980587,23.735039,26.6387,0.0136,-0.0076,347.4
426,37.980644,23.73512,30.9439,-0.0309,-0.0873,347.6
427,37.980628,23.735088,21.0473,-0.0208,-0.0005,348.0
428,37.980612,23.735052,25.7222,0.0249,0.06,348.0
429,37.980037,23.736897,13.3433,-0.0725,-0.2846,349.4
430,37.980597,23.735033,26.2795,0.036,0.107,349.8
431,37.980604,23.735072,39.9149,-0.0349,-0.0416,350.4
432,37.980613,23.735058,44.2457,0.0497,-0.1182,351.2
433,37.980639,23.735116,23.2338,0.0486,-0.1686,351.2
434,37.978402,23.735528,18.9029,0.0506,0.0387,351.4
435,37.980626,23.735079,20.196,-0.0872,0.1447,352.0
436,37.980066,23.737013,15.2169,0.1423,-0.2,352.8
437,37.980639,23.735113,21.8697,-0.0114,0.046,352.8
438,37.980601,23.735038,27.345,0.027,0.062,353.4
439,37.980613,23.735067,26.7913,-0.0061,0.1287,353.4
440,37.98004,23.736896,11.3578,0.0284,-0.1757,354.4
441,37.978423,23.735526,17.282,0.073,-0.0607,354.6
442,37.980525,23.734926,25.593,0.0345,0.0645,354.8
443,37.977621,23.737425,13.0786,0.0013,0.5466,355.8
444,37.98062,23.735098,37.3416,0.0169,-0.0153,356.6
445,37.980593,23.735032,25.2381,0.0398,0.0003,356.8
446,37.980622,23.735099,44.853,0.132,0.0371,359.4
447,37.9806,23.73507,28.4154,0.0385,0.066,359.4
448,37.980643,23.735118,32.7509,0.0535,0.0143,359.6
449,37.980622,23.735112,47.2801,0.0904,-0.1577,359.8
450,37.980618,23.735071,36.4722,0.0855,0.1384,360.6
451,37.980629,23.735088,31.7822,0.0879,-0.1052,361.4
452,37.978414,23.735528,26.8459,0.0383,-0.0437,361.8
453,37.978409,23.735517,29.9849,0.0202,-0.3405,363.6
454,37.97762,23.737436,3.2725,0.2901,0.0,378.8
455,37.978356,23.737804,13.3978,-0.1637,-0.2382,380.2
456,37.980039,23.736898,14.7173,-0.12,-0.124,382.4
457,37.980637,23.735104,41.8899,0.4597,0.0207,386.4
458,37.980593,23.73505,44.7949,0.4817,0.1053,387.4
459,37.980607,23.735062,24.9828,0.0867,0.067,387.8
460,37.980582,23.735037,30.05,0.1043,0.0153,388.0
461,37.980632,23.735089,17.3864,0.0539,-0.019,390.2
462,37.978426,23.735538,36.4862,-2.1849,-0.0905,390.4
463,37.980589,23.735041,30.1136,0.1485,0.1977,390.8
464,37.978411,23.735542,71.4911,0.1561,0.0066,391.2
465,37.978415,23.735533,40.861,0.0862,0.0091,391.8
466,37.980636,23.735122,30.8004,0.2199,-0.0166,393.2
467,37.980602,23.735049,27.5153,0.0583,0.04,394.0
468,37.978429,23.735575,39.9096,0.2425,0.0439,394.0
469,37.980618,23.735099,18.2499,-0.2471,-0.0042,395.0
470,37.980593,23.735039,33.8075,0.2266,0.0009,395.0
471,37.980645,23.735113,36.0071,0.4457,0.0103,395.0
472,37.980606,23.735063,28.1682,0.063,-0.0683,395.4
473,37.978416,23.735535,31.8273,0.0377,-0.0457,395.4
474,37.978417,23.73552,30.6383,0.1162,-0.0383,397.0
475,37.980036,23.736887,24.3237,-0.1058,0.1084,397.4
476,37.978417,23.737922,34.9883,-0.0143,-0.0761,397.8
477,37.977623,23.737426,4.7062,0.1403,-0.0034,399.6
478,37.980593,23.735034,27.075,0.0151,-0.0485,399.6
479,37.980635,23.735117,34.0869,0.0203,0.1131,400.8
480,37.98059,23.735039,36.3992,-0.0149,-0.1392,401.2
481,37.980036,23.736886,22.1639,0.0484,0.01,401.4
482,37.980577,23.735086,31.4424,-0.033,0.42,402.6
483,37.978414,23.73552,19.6613,-0.0891,0.0179,403.8
484,37.980616,23.735102,58.3308,0.0386,0.1138,403.8
485,37.980631,23.735119,39.8583,0.2805,0.0442,404.8
486,37.980604,23.735066,31.5275,0.0531,-0.0433,405.2
487,37.977624,23.737403,13.6835,-0.0217,0.2488,405.6
488,37.980036,23.736892,20.003,-0.0348,-0.2801,405.6
489,37.978414,23.735511,20.6995,-0.0193,0.0187,406.4
490,37.978417,23.735524,18.8027,-0.1446,-0.043,408.4
491,37.977625,23.737405,19.538,0.0372,0.5978,408.6
492,37.978397,23.735524,17.9788,-0.0389,-0.0448,408.8
493,37.977627,23.737401,9.2309,0.0711,0.0658,410.8
494,37.97841,23.735522,17.9127,0.0078,0.0119,411.4
495,37.97839,23.735531,42.8372,0.1094,-0.2276,412.0
496,37.978411,23.735522,17.3143,0.0032,-0.1819,413.4
497,37.980037,23.736894,25.5108,0.1643,0.1087,415.0
498,37.978408,23.73553,15.278,-0.0349,-0.0854,415.2
499,37.978365,23.73782,4.5376,-0.2323,0.3978,415.8
500,37.978414,23.735519,16.3874,0.1357,-0.003,417.8
501,37.97842,23.735506,20.311,0.0935,0.0592,419.6
502,37.978405,23.735526,16.2238,0.0255,0.0517,419.8
503,37.978425,23.735514,22.1796,0.1184,0.0355,421.0
504,37.978404,23.735528,13.6765,0.0128,0.0623,421.8
505,37.978402,23.735528,12.0713,0.0354,-0.0094,424.0
506,37.97845,23.735571,18.4686,0.0353,-0.1181,426.4
507,37.978414,23.735509,10.6723,-0.0238,-0.0206,427.0
508,37.978396,23.735526,8.9542,0.0077,-0.1035,427.6
509,37.978418,23.735517,7.9188,0.009,0.0036,430.2
510,37.978407,23.735545,10.6655,-0.1699,0.0134,430.6
511,37.980642,23.735121,28.1647,0.0185,0.1069,430.8
512,37.98059,23.735058,35.9931,0.0726,0.0399,431.6
513,37.980637,23.735112,30.7971,0.0686,0.0251,432.6
514,37.980613,23.735094,36.5049,0.1208,-0.0467,433.0
515,37.980606,23.735072,58.8574,-0.1457,-0.3949,433.2
516,37.980598,23.73504,25.5708,0.0533,0.0252,433.6
517,37.980526,23.734939,28.4883,0.0356,-0.0253,434.8
518,37.980599,23.735071,32.9366,0.0955,-0.002,436.0
519,37.978401,23.735524,18.5869,0.0175,-0.0809,436.4
520,37.980592,23.735039,19.5485,0.0464,-0.0012,436.4
521,37.97762,23.737443,10.995,-0.1698,0.252,436.6
522,37.980621,23.735082,37.1577,0.0167,-0.1176,437.6
523,37.980584,23.735039,32.7845,-0.022,-0.303,438.4
524,37.980613,23.73507,33.381,-0.1814,-0.0205,438.8
525,37.980621,23.735095,53.6685,0.035,0.0748,439.4
526,37.980585,23.735018,18.8678,-0.0119,-0.0361,439.4
527,37.98064,23.735116,39.488,0.0196,0.083,440.2
528,37.980609,23.7351,46.3387,-0.0495,0.0314,440.6
529,37.980603,23.735098,41.5212,-0.0194,-0.1518,442.2
530,37.980609,23.735061,21.0449,0.0172,0.004,442.2
531,37.977625,23.737429,11.5074,-0.0912,0.6697,442.2
532,37.980616,23.735104,41.6445,0.0019,0.0004,443.4
533,37.977638,23.7374,11.1471,-0.0992,0.8174,443.6
534,37.97867,23.736077,12.2391,0.0224,0.0075,444.0
535,37.978407,23.737894,14.489,-0.0374,0.0737,444.2
536,37.980632,23.735125,35.9666,0.031,-0.0772,444.2
537,37.98,23.736826,2.2151,-0.1031,-0.0031,444.2
538,37.978412,23.735534,34.9729,0.0296,-0.0157,444.4
539,37.980622,23.73509,40.5119,-0.007,-0.0089,444.6
540,37.980622,23.735093,39.8039,-0.0003,-0.0583,446.0
541,37.980633,23.735126,34.9448,-0.4224,-0.0411,446.8
542,37.980608,23.735072,34.4041,-0.012,0.0345,446.8
543,37.98002,23.736861,14.9073,-0.3489,-0.0036,447.2
544,37.980629,23.735105,42.9956,-0.648,0.054,447.4
545,37.978415,23.735533,32.2369,0.014,0.0506,447.8
